File,0,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69,72
constant_1,0.022825,0.02297,0.023093,0.023101,0.023117,0.022922,0.023153,0.02302,0.023071,0.023057,0.023082,0.023053,0.023055,0.023011,0.023139,0.023117,0.02308,0.023015999999999998,0.022919,0.023136,0.023095,0.022999,0.022987,0.023119,0.022754
constant_2,0.023205,0.023289,0.023268,0.02328,0.023437,0.023293,0.0234,0.023151,0.023242,0.023185,0.023301,0.023291,0.02325,0.023322,0.023249,0.023252,0.023221,0.023386,0.023176,0.023265,0.02322,0.023333,0.02315,0.023294,0.023345
constant_3,0.023636,0.023492,0.023313,0.023388,0.023683,0.023444,0.023461,0.023483,0.023434,0.023444,0.023395,0.023484,0.023428,0.023323,0.023491,0.023442,0.023378,0.023454,0.023595,0.023474,0.023537,0.023428,0.023451,0.023623,0.023301
constant_4,0.023328,0.02336,0.023352,0.023299,0.023378,0.023244,0.023322,0.023426,0.023352,0.023283,0.023257,0.023273,0.02318,0.023255,0.023331,0.023283,0.023264,0.023207,0.023283,0.023349,0.023453,0.023358,0.023295,0.023204,0.023235
constant_5,0.023342,0.023225,0.023263,0.02336,0.023268,0.023276,0.023355,0.023421,0.023422,0.023414,0.023373,0.023337,0.023219,0.023296,0.023359,0.0235,0.02335,0.023281,0.023422,0.023451,0.023344,0.023354,0.023484,0.023293,0.023426
constant_6,0.023315,0.0232,0.023296999999999998,0.023331,0.023452,0.023384,0.02335,0.023368,0.023366,0.023374,0.023314,0.023194,0.02337,0.023397,0.023341,0.023336,0.023283,0.023371,0.023351,0.02337,0.023321,0.023335,0.023279,0.023333,0.023349
constant_7,0.023183,0.023188,0.023284,0.023174,0.02305,0.02325,0.023024,0.023175,0.023087,0.023153,0.023091,0.023178,0.023176,0.023206,0.023147,0.023223,0.023136,0.023112,0.023022,0.023152,0.023176,0.02313,0.023201,0.023083,0.023151
constant_8,0.023057,0.023121,0.023182,0.023159,0.023099,0.023141,0.023174,0.02313,0.023171,0.023305,0.023109,0.023282,0.023304,0.023188,0.023295,0.023162,0.023172,0.023202,0.023144,0.023321,0.023079,0.023296,0.023109,0.023232,0.023288
constant_9,0.023331,0.023153,0.023334,0.023315,0.023319,0.023238,0.023231,0.023256,0.023509,0.023326,0.023222,0.023252,0.023267,0.023341,0.023393,0.023193,0.023306,0.023262,0.023223,0.023241,0.023383,0.023248,0.023417,0.02326,0.023163
constant_10,0.022906,0.022896,0.022958,0.022846,0.022894,0.022896,0.022796,0.02292,0.022877,0.022933,0.022898,0.02311,0.022908,0.022991,0.022882,0.022931,0.022955,0.022989,0.022925,0.022944,0.02281,0.023027,0.022844,0.02291,0.023018
constant_11,0.023208,0.023466,0.023296,0.02338,0.023226,0.023437,0.02326,0.023424,0.023262,0.023266,0.023259,0.023327,0.023323,0.023224,0.023366,0.023356,0.023334,0.02335,0.023198,0.023386,0.023343,0.023158,0.023154,0.023154,0.023347
constant_12,0.023377,0.023364,0.023393,0.023485,0.023485,0.023384,0.023273,0.023443,0.023436,0.023386,0.023488,0.023447,0.023499,0.023551,0.023426,0.023517,0.023566,0.023343,0.023182,0.023569,0.023505,0.023506,0.023418,0.023367,0.02354
constant_13,0.023216,0.02334,0.023242,0.023182,0.023267,0.023312,0.023363,0.023267,0.02316,0.0232,0.023171,0.023138,0.023316,0.023206,0.023257,0.02339,0.023288,0.023284,0.023311,0.023213,0.023209,0.023271,0.023347,0.023275,0.023284
constant_14,0.023076,0.022951,0.023185,0.022906,0.023003,0.022881,0.023079,0.023001,0.023024,0.022945,0.022911,0.02311,0.023048,0.022917,0.022943,0.022894,0.022872,0.022813,0.022943,0.023043,0.023063,0.022842,0.023032,0.022976,0.023152
constant_15,0.023277,0.023359,0.023277,0.023199,0.023284,0.023372,0.023219,0.023318,0.023263,0.023403,0.02337,0.023332,0.023166,0.023296,0.023383,0.023459,0.023407,0.023303,0.023163,0.023256,0.023334,0.023236,0.023285,0.023287,0.023378
constant_16,0.023194,0.022985,0.023087,0.023141,0.023117,0.02308,0.023037,0.023091,0.023169,0.02302,0.023099,0.022963,0.022958,0.023091,0.022973,0.02295,0.022894,0.02293,0.023171,0.023064,0.023128,0.023019,0.023097,0.023099,0.023012
constant_17,0.02317,0.022949,0.023085,0.02299,0.02321,0.02286,0.023062,0.023055,0.023048,0.02296,0.022959,0.022997,0.022845,0.023049,0.023072,0.022935,0.0231,0.022929,0.023288,0.02317,0.023126,0.023041,0.023096,0.023089,0.023132
constant_18,0.023386,0.023536,0.023435,0.023359,0.023521,0.023578000000000002,0.023352,0.02354,0.023397,0.023628,0.02343,0.023433,0.023428,0.023457,0.02354,0.023566,0.023401,0.023544,0.023532,0.02349,0.023476,0.023507,0.023498,0.023478,0.023658
constant_19,0.023356,0.023512,0.023296999999999998,0.023415,0.02332,0.023251,0.0234,0.023316,0.023127,0.023293,0.023157,0.023379,0.023395,0.023421,0.02338,0.023481,0.023488,0.023381,0.023356,0.023308,0.023324,0.023249,0.023389,0.023262,0.023358
constant_20,0.022958,0.022847,0.022843,0.02305,0.023017,0.022845,0.023011,0.022878,0.022996,0.022973,0.022914,0.023032,0.022988,0.022799,0.022994,0.02301,0.02305,0.022981,0.023102,0.022956,0.022786,0.022862,0.022783,0.022936,0.022889
constant_21,0.022752,0.022823,0.022886,0.022732,0.022806,0.022965,0.022873,0.022829,0.022852,0.022899,0.022985,0.022852,0.022711,0.022833,0.022602,0.022938,0.022842,0.022897,0.022886,0.022891,0.022953,0.022857,0.022846,0.022748,0.022871
