File,0,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69,72
constant_1,22989,23138,23251,23266,23273,23084,23322,23175,23233,23221,23233,23203,23213,23160,23304,23262,23232,23178,23060,23301,23254,23145,23150,23284,22910
constant_2,23372,23459,23438,23433,23596,23457,23569,23318,23409,23345,23461,23448,23417,23483,23411,23430,23393,23555,23341,23434,23397,23490,23321,23473,23512
constant_3,23785,23648,23486,23545,23849,23602,23625,23641,23602,23610,23563,23640,23598,23480,23666,23602,23551,23625,23763,23634,23704,23589,23612,23781,23463
constant_4,23501,23554,23520,23484,23542,23419,23500,23606,23524,23462,23431,23439,23349,23422,23505,23442,23430,23388,23448,23539,23615,23540,23462,23385,23403
constant_5,23510,23377,23438,23525,23440,23447,23523,23589,23589,23587,23540,23510,23387,23453,23531,23661,23522,23439,23604,23613,23506,23513,23647,23449,23591
constant_6,23481,23348,23447,23493,23599,23538,23508,23522,23504,23529,23466,23356,23531,23552,23503,23496,23433,23537,23505,23520,23473,23486,23430,23484,23505
constant_7,23357,23349,23453,23353,23231,23434,23204,23365,23265,23330,23275,23363,23350,23378,23321,23399,23323,23302,23194,23337,23352,23324,23368,23257,23339
constant_8,23237,23310,23361,23326,23272,23327,23351,23309,23361,23478,23288,23458,23483,23357,23452,23339,23345,23386,23322,23499,23247,23475,23295,23410,23478
constant_9,23498,23317,23496,23479,23478,23405,23402,23434,23669,23474,23389,23402,23432,23501,23558,23357,23470,23416,23378,23400,23550,23419,23575,23424,23324
constant_10,23087,23079,23139,23039,23087,23090,22977,23103,23059,23120,23076,23287,23078,23175,23059,23115,23133,23171,23101,23126,23000,23207,23024,23087,23198
constant_11,23385,23630,23476,23564,23401,23620,23433,23581,23442,23441,23434,23499,23496,23400,23536,23517,23505,23525,23373,23551,23515,23332,23323,23333,23523
constant_12,23535,23532,23557,23640,23651,23555,23432,23603,23604,23554,23647,23606,23679,23719,23590,23675,23724,23509,23355,23743,23682,23680,23568,23523,23698
constant_13,23386,23504,23401,23347,23432,23480,23527,23424,23317,23368,23334,23303,23482,23374,23416,23562,23451,23441,23479,23380,23365,23437,23526,23434,23458
constant_14,23240,23102,23342,23064,23165,23044,23246,23173,23170,23093,23063,23270,23204,23084,23095,23047,23028,22968,23094,23205,23228,22994,23194,23128,23303
constant_15,23453,23535,23455,23379,23465,23558,23407,23489,23428,23579,23542,23506,23349,23472,23559,23629,23584,23481,23347,23424,23513,23410,23458,23480,23550
constant_16,23371,23169,23252,23299,23289,23264,23201,23271,23320,23185,23276,23129,23131,23271,23151,23117,23061,23104,23340,23220,23289,23190,23265,23257,23180
constant_17,23357,23145,23283,23190,23403,23041,23251,23246,23236,23165,23144,23200,23034,23244,23249,23128,23292,23120,23465,23353,23312,23242,23276,23283,23318
constant_18,23551,23712,23606,23550,23698,23752,23523,23711,23554,23803,23621,23596,23587,23630,23714,23746,23571,23712,23704,23654,23643,23681,23666,23650,23836
constant_19,23524,23686,23473,23593,23493,23427,23576,23499,23313,23478,23337,23556,23581,23592,23556,23656,23646,23553,23541,23484,23499,23431,23562,23436,23541
constant_20,23121,23017,23011,23218,23174,23016,23177,23049,23170,23130,23076,23201,23148,22970,23166,23174,23201,23147,23261,23123,22958,23032,22945,23102,23061
constant_21,22933,23013,23064,22925,22985,23150,23053,22997,23030,23084,23160,23027,22894,23012,22776,23098,23020,23064,23068,23065,23130,23032,23015,22933,23055
constant_22,23208,23244,23401,23214,23361,23301,23292,23172,23425,23226,23150,23150,23259,23406,23200,23343,23339,23386,23360,23229,23281,23205,23381,23189,23272
constant_23,23172,23202,23205,23322,23202,23376,23249,23376,23277,23316,23366,23163,23323,23214,23143,23415,23310,23218,23381,23180,23345,23083,23215,23247,23199
constant_24,23353,23336,23398,23331,23134,23260,23290,23361,23287,23395,23187,23366,23492,23243,23317,23173,23341,23424,23380,23263,23368,23263,23228,23297,23232
constant_25,23370,23121,23148,23265,23267,23114,23308,23392,23306,23365,23233,23239,23339,23181,23346,23379,23369,23286,23113,23157,23371,23253,23257,23210,23152
constant_26,23793,23786,23845,23838,23910,23657,23537,23892,23832,23838,23744,23944,23806,23740,23949,23949,23843,23845,23889,23838,23845,23754,23653,23914,23806
constant_27,22875,22949,22839,22888,22881,22883,22884,22804,22878,22931,23010,22827,22971,22950,22906,22898,22977,22882,22921,22876,22863,22967,22833,22993,22924
