File,0,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69,72
constant_1,22719,22860,22973,22991,22994,22812,23044,22892,22959,22939,22971,22930,22943,22884,23040,23004,22969,22903,22797,23031,22976,22882,22874,23003,22641
constant_2,23087,23177,23153,23152,23318,23189,23272,23038,23117,23068,23186,23186,23137,23194,23126,23159,23105,23258,23072,23145,23125,23201,23023,23191,23212
constant_3,23514,23372,23206,23259,23554,23313,23349,23360,23310,23331,23287,23370,23313,23203,23371,23331,23268,23336,23473,23342,23418,23318,23326,23484,23188
constant_4,23198,23234,23217,23183,23239,23114,23198,23294,23216,23152,23123,23140,23056,23127,23198,23150,23131,23088,23157,23226,23301,23232,23161,23080,23101
constant_5,23230,23109,23170,23254,23170,23166,23253,23309,23305,23310,23261,23233,23097,23176,23262,23375,23236,23167,23312,23343,23236,23240,23365,23183,23316
constant_6,23212,23093,23185,23227,23339,23277,23236,23267,23249,23277,23209,23096,23262,23283,23244,23242,23180,23270,23252,23264,23221,23221,23176,23204,23229
constant_7,23072,23087,23178,23077,22955,23148,22930,23077,22986,23065,22998,23082,23071,23093,23046,23130,23051,23027,22908,23055,23073,23041,23106,22990,23053
constant_8,22934,23021,23054,23028,22985,23030,23053,23013,23062,23169,22991,23158,23172,23057,23176,23043,23060,23082,23042,23202,22957,23176,22984,23115,23172
constant_9,23206,23038,23200,23200,23200,23102,23106,23124,23385,23189,23106,23115,23153,23212,23282,23061,23175,23134,23088,23119,23260,23121,23293,23137,23036
constant_10,22784,22781,22829,22728,22761,22783,22665,22799,22742,22822,22765,22983,22772,22856,22753,22793,22817,22844,22798,22816,22680,22903,22717,22767,22884
constant_11,23109,23344,23190,23267,23107,23331,23150,23301,23153,23143,23143,23214,23225,23117,23248,23238,23208,23241,23084,23276,23218,23069,23048,23061,23237
constant_12,23253,23238,23267,23358,23351,23261,23152,23307,23318,23263,23358,23323,23367,23416,23303,23384,23427,23216,23067,23437,23385,23385,23280,23223,23399
constant_13,23115,23226,23133,23072,23165,23204,23255,23157,23061,23089,23067,23033,23210,23097,23151,23281,23181,23177,23203,23118,23107,23168,23237,23164,23176
constant_14,22958,22838,23074,22805,22913,22769,22977,22897,22909,22835,22806,23012,22941,22817,22835,22791,22759,22698,22834,22942,22966,22723,22939,22864,23041
constant_15,23150,23225,23151,23059,23159,23264,23115,23185,23129,23281,23239,23210,23056,23166,23253,23311,23287,23177,23048,23127,23208,23110,23157,23168,23253
constant_16,23084,22886,22966,23026,23003,22985,22922,22981,23054,22914,22989,22857,22853,22990,22876,22832,22779,22818,23054,22948,23011,22914,22989,22986,22907
constant_17,23060,22854,22983,22881,23116,22766,22974,22963,22947,22860,22855,22898,22743,22953,22967,22849,22997,22845,23179,23072,23012,22937,22989,23001,23039
constant_18,23262,23421,23339,23266,23417,23475,23228,23427,23277,23523,23341,23336,23324,23348,23439,23468,23290,23432,23419,23381,23363,23385,23375,23376,23542
constant_19,23240,23398,23198,23310,23212,23138,23288,23219,23015,23182,23049,23278,23293,23308,23267,23375,23370,23269,23241,23186,23202,23144,23270,23151,23245
constant_20,22848,22749,22736,22946,22902,22748,22897,22789,22897,22856,22817,22920,22872,22705,22892,22895,22929,22881,22980,22837,22686,22762,22673,22835,22787
constant_21,22645,22718,22776,22625,22705,22855,22737,22717,22738,22782,22869,22743,22599,22718,22497,22821,22732,22778,22773,22787,22838,22749,22733,22645,22746
constant_22,22918,22961,23110,22931,23089,23022,23005,22897,23149,22951,22872,22866,22982,23128,22920,23065,23061,23111,23083,22943,23012,22932,23100,22912,22990
constant_23,22881,22911,22921,23046,22921,23088,22949,23079,22985,23008,23080,22885,23034,22928,22859,23115,23032,22938,23077,22891,23063,22820,22939,22967,22931
constant_24,23078,23059,23130,23064,22866,22987,23026,23088,23012,23113,22921,23106,23219,22971,23047,22909,23082,23155,23123,22998,23102,23006,22964,23026,22957
constant_25,23078,22846,22865,22980,22990,22835,23024,23114,23023,23075,22954,22969,23067,22902,23068,23109,23093,23003,22840,22879,23104,22974,22975,22925,22886
constant_26,23504,23497,23560,23554,23629,23398,23246,23606,23545,23538,23462,23658,23525,23465,23653,23661,23556,23561,23608,23567,23573,23465,23363,23632,23522
constant_27,22587,22661,22546,22587,22589,22602,22591,22515,22604,22624,22735,22540,22680,22652,22618,22607,22685,22586,22637,22580,22574,22667,22532,22693,22623
constant_28,23262,23074,23217,23076,23121,23112,22927,23110,23188,23101,23217,23307,23226,22947,23092,23070,23148,23196,23104,23064,23190,23298,23081,23168,23059
constant_29,23054,22947,23163,23053,23222,23128,23150,23171,23013,23131,23092,23146,23095,23142,23207,22975,22962,23130,23067,23107,22960,23170,23043,23170,23069
constant_30,23168,22975,22955,23026,22991,23023,22869,22967,23019,22903,22992,22981,23066,22881,23004,23064,23003,22964,23049,22963,22988,23068,22990,23024,22970
constant_31,23336,23238,23208,23157,23306,23162,23071,23170,23137,23205,23059,23084,23042,23197,23007,23041,23085,23211,23144,23147,23141,23169,23198,22849,23176
constant_32,22951,22909,23035,23039,23028,23021,22967,22940,23149,23116,23167,23105,23079,23063,23094,22920,23076,22960,23067,23180,22993,23180,22915,23059,22947
constant_33,23079,23001,23114,23247,23054,23247,23253,23265,23277,23167,23169,23235,23066,23193,23053,23280,23232,23196,23086,23054,23254,23230,23260,23052,23036
constant_34,23182,23143,23093,23259,23189,23185,23181,23266,23076,23135,23182,23216,23141,23156,22954,23134,23076,23078,23076,23116,23114,22893,23095,23012,23045
constant_35,22895,23031,22921,22957,22942,22961,22953,22968,23085,22829,22996,22892,22950,22971,22930,23063,22811,22931,22906,23019,22992,23101,22969,22960,22885
constant_36,22919,22717,22764,22768,22755,22683,22959,22824,22859,22848,22796,22891,22832,22687,22676,22730,22736,22963,22827,22811,22774,22952,22845,22808,22918
constant_37,22897,22949,22897,23080,22904,22920,23055,23109,22944,23017,23036,23044,22905,22948,22855,22840,23031,22981,23087,22964,23023,22877,23014,22954,22987
