File,0,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69,72
constant_1,180926,181573,182675,183239,183269,181894,182970,182446,182670,182080,183042,182532,181990,182960,183427,182653,182845,182553,182574,183550,182754,181751,182885,183139,181224
constant_2,183613,184618,184373,184630,184825,183822,185160,183792,184652,184301,184947,184479,184288,184389,183847,184200,184342,184862,183637,184230,184215,184999,183946,184470,184469
constant_3,183493,184093,182732,182869,184622,183148,183664,183993,183294,183437,183789,184014,183368,182447,184205,184352,183674,184286,184168,184242,184041,183718,183680,184760,182293
constant_4,183633,183695,183757,183050,183642,183099,183414,183777,183436,183144,183163,183674,182274,182500,182683,182844,183093,183434,183237,183559,183559,183283,183954,183628,182911
constant_5,183335,182688,182476,183055,183000,183140,182526,182727,183313,183162,182904,182336,182161,182433,183570,183466,183373,182133,183215,183498,183094,183296,183231,182625,183211
constant_6,182791,181919,183226,182928,183321,183188,183233,183215,182770,183670,183094,182659,183266,183119,182590,182617,182630,183686,183454,183056,182654,182817,183173,182692,183426
constant_7,184069,184350,185270,184249,183663,183891,183538,183786,183051,183373,183674,184233,183823,183976,183468,184516,183255,183281,183635,183751,183806,184046,183716,182820,184023
constant_8,183031,183648,183826,183499,182705,183322,183192,183397,184193,183974,182983,183942,183960,184041,184254,183445,184328,184263,183417,184384,183148,183702,183033,183615,184183
constant_9,183412,184301,184781,184215,184381,183583,184224,183909,184788,184329,183964,184104,183643,184576,184325,183776,184067,184417,183439,184937,184241,183973,184168,183995,183976
constant_10,181596,182794,182810,181470,182591,181763,181649,182133,182568,181989,182419,182949,182251,182488,182505,182836,183133,183292,182421,182925,182106,183014,181707,182909,182775
constant_11,182697,184076,182468,183773,183265,184490,183885,183839,183714,183516,183537,183064,183548,182439,183544,183917,183834,183391,182827,183958,183662,182185,182407,182880,183141
constant_12,182891,183230,183313,183799,184188,183784,182336,183122,183680,183243,183818,183689,184233,184047,183456,183927,184038,182795,182902,183928,183830,183675,183630,183553,184002
constant_13,183467,184226,183171,182906,183096,183415,184086,183851,182966,182662,183339,183059,183562,183073,183290,184002,183134,183039,183615,183444,183133,183637,183984,183766,182799
constant_14,183660,182947,183595,182578,183374,182590,183826,183125,183095,182381,182628,183393,183502,183229,183273,182595,182249,182106,182543,183485,183671,183086,182756,182962,183963
constant_15,183507,184072,183376,183803,184277,184232,183356,183946,183832,183679,184210,183117,182506,183777,184990,184352,184138,184031,183721,184034,183709,183760,184178,183303,183968
